2023-03-02 22:48:28,333 INFO    MainThread:49599 [wandb_setup.py:_flush():68] Configure stats pid to 49599
2023-03-02 22:48:28,334 INFO    MainThread:49599 [wandb_setup.py:_flush():68] Loading settings from /Users/dongtianchi/.config/wandb/settings
2023-03-02 22:48:28,334 INFO    MainThread:49599 [wandb_setup.py:_flush():68] Loading settings from /Users/dongtianchi/Documents/GIT/Magnetic/wandb/settings
2023-03-02 22:48:28,334 INFO    MainThread:49599 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-03-02 22:48:28,334 INFO    MainThread:49599 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'EXE/AE/ae.py', 'program': '/Users/dongtianchi/Documents/GIT/Magnetic/EXE/AE/ae.py'}
2023-03-02 22:48:28,334 INFO    MainThread:49599 [wandb_init.py:_log_setup():492] Logging user logs to /Users/dongtianchi/Documents/GIT/Magnetic/wandb/run-20230302_224828-fdk4qz9o/logs/debug.log
2023-03-02 22:48:28,334 INFO    MainThread:49599 [wandb_init.py:_log_setup():493] Logging internal logs to /Users/dongtianchi/Documents/GIT/Magnetic/wandb/run-20230302_224828-fdk4qz9o/logs/debug-internal.log
2023-03-02 22:48:28,334 INFO    MainThread:49599 [wandb_init.py:init():532] calling init triggers
2023-03-02 22:48:28,334 INFO    MainThread:49599 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {}
2023-03-02 22:48:28,334 INFO    MainThread:49599 [wandb_init.py:init():588] starting backend
2023-03-02 22:48:28,334 INFO    MainThread:49599 [wandb_init.py:init():592] setting up manager
2023-03-02 22:48:28,337 INFO    MainThread:49599 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-03-02 22:48:28,339 INFO    MainThread:49599 [wandb_init.py:init():599] backend started and connected
2023-03-02 22:48:28,342 INFO    MainThread:49599 [wandb_init.py:init():687] updated telemetry
2023-03-02 22:48:28,361 INFO    MainThread:49599 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-03-02 22:48:29,890 INFO    MainThread:49599 [wandb_run.py:_on_init():2134] communicating current version
2023-03-02 22:48:29,971 INFO    MainThread:49599 [wandb_run.py:_on_init():2143] got version response 
2023-03-02 22:48:29,971 INFO    MainThread:49599 [wandb_init.py:init():775] starting run threads in backend
2023-03-02 22:48:31,969 INFO    MainThread:49599 [wandb_run.py:_console_start():2114] atexit reg
2023-03-02 22:48:31,969 INFO    MainThread:49599 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-02 22:48:31,969 INFO    MainThread:49599 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-02 22:48:31,969 INFO    MainThread:49599 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-02 22:48:31,969 INFO    MainThread:49599 [wandb_init.py:init():817] run started, returning control to user process
2023-03-02 22:48:49,505 WARNING MsgRouterThr:49599 [router.py:message_loop():77] message_loop has been closed
